Name,Ticker,Yahoo_Equivalent_Code
Anik Industries Limited,ANIKINDS.NS,"'ANIKINDS.NS',"
Ankit Metal & Power Limited,ANKITMETAL.NS,"'ANKITMETAL.NS',"
Ansal Properties & Infrastructure Limited,ANSALAPI.NS,"'ANSALAPI.NS',"
Ansal Housing Limited,ANSALHSG.NS,"'ANSALHSG.NS',"
The Anup Engineering Limited,ANUP.NS,"'ANUP.NS',"
Apar Industries Limited,APARINDS.NS,"'APARINDS.NS',"
Anjani Portland Cement Limited,APCL.NS,"'APCL.NS',"
Apcotex Industries Limited,APCOTEXIND.NS,"'APCOTEXIND.NS',"
Apex Frozen Foods Limited,APEX.NS,"'APEX.NS',"
APL Apollo Tubes Limited,APLAPOLLO.NS,"'APLAPOLLO.NS',"
Alembic Pharmaceuticals Limited,APLLTD.NS,"'APLLTD.NS',"
Apollo Micro Systems Limited,APOLLO.NS,"'APOLLO.NS',"
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,"'APOLLOHOSP.NS',"
Apollo Pipes Limited,APOLLOPIPE.NS,"'APOLLOPIPE.NS',"
Apollo Tyres Limited,APOLLOTYRE.NS,"'APOLLOTYRE.NS',"
Apollo Sindoori Hotels Limited,APOLSINHOT.NS,"'APOLSINHOT.NS',"
Aptech Limited,APTECHT.NS,"'APTECHT.NS',"
Archidply Industries Limited,ARCHIDPLY.NS,"'ARCHIDPLY.NS',"
Archies Limited,ARCHIES.NS,"'ARCHIES.NS',"
Arcotech Limited,ARCOTECH.NS,"'ARCOTECH.NS',"
Rajdarshan Industries Limited,ARENTERP.NS,"'ARENTERP.NS',"
Aries Agro Limited,ARIES.NS,"'ARIES.NS',"
Arihant Foundations & Housing Limited,ARIHANT.NS,"'ARIHANT.NS',"
Arihant Superstructures Limited,ARIHANTSUP.NS,"'ARIHANTSUP.NS',"
Arman Financial Services Limited,ARMANFIN.NS,"'ARMANFIN.NS',"
Aro Granite Industries Limited,AROGRANITE.NS,"'AROGRANITE.NS',"
Arrow Greentech Limited,ARROWGREEN.NS,"'ARROWGREEN.NS',"
Arshiya Limited,ARSHIYA.NS,"'ARSHIYA.NS',"
ARSS Infrastructure Projects Limited,ARSSINFRA.NS,"'ARSSINFRA.NS',"
Artemis Medicare Services Limited,ARTEMISMED.NS,"'ARTEMISMED.NS',"
Arvind Limited,ARVIND.NS,"'ARVIND.NS',"
Arvind Fashions Limited,ARVINDFASN.NS,"'ARVINDFASN.NS',"
Arvind SmartSpaces Limited,ARVSMART.NS,"'ARVSMART.NS',"
Asahi India Glass Limited,ASAHIINDIA.NS,"'ASAHIINDIA.NS',"
Asahi Songwon Colors Limited,ASAHISONG.NS,"'ASAHISONG.NS',"
Automotive Stampings and Assemblies Limited,ASAL.NS,"'ASAL.NS',"
Associated Alcohols & Breweries Ltd.,ASALCBR.NS,"'ASALCBR.NS',"
Ashapura Minechem Limited,ASHAPURMIN.NS,"'ASHAPURMIN.NS',"
Ashiana Housing Limited,ASHIANA.NS,"'ASHIANA.NS',"
Ashima Limited,ASHIMASYN.NS,"'ASHIMASYN.NS',"
Ashoka Buildcon Limited,ASHOKA.NS,"'ASHOKA.NS',"
Ashok Leyland Limited,ASHOKLEY.NS,"'ASHOKLEY.NS',"
Asian Hotels (North) Limited,ASIANHOTNR.NS,"'ASIANHOTNR.NS',"
Asian Paints Limited,ASIANPAINT.NS,"'ASIANPAINT.NS',"
Asian Granito India Limited,ASIANTILES.NS,"'ASIANTILES.NS',"
Aspinwall and Company Limited,ASPINWALL.NS,"'ASPINWALL.NS',"
Astec LifeSciences Limited,ASTEC.NS,"'ASTEC.NS',"
Aster DM Healthcare Limited,ASTERDM.NS,"'ASTERDM.NS',"
Astral Poly Technik Limited,ASTRAL.NS,"'ASTRAL.NS',"
Astra Microwave Products Limited,ASTRAMICRO.NS,"'ASTRAMICRO.NS',"
AstraZeneca Pharma India Limited,ASTRAZEN.NS,"'ASTRAZEN.NS',"
Astron Paper & Board Mill Limited,ASTRON.NS,"'ASTRON.NS',"
Agro Tech Foods Limited,ATFL.NS,"'ATFL.NS',"
Adani Total Gas Limited,ATGL.NS,"'ATGL.NS',"
Atlanta  Limited,ATLANTA.NS,"'ATLANTA.NS',"
Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS,"'ATLASCYCLE.NS',"
Atul Limited,ATUL.NS,"'ATUL.NS',"
Atul Auto Limited,ATULAUTO.NS,"'ATULAUTO.NS',"
AU Small Finance Bank Limited,AUBANK.NS,"'AUBANK.NS',"
Aurionpro Solutions Limited,AURIONPRO.NS,"'AURIONPRO.NS',"
Aurobindo Pharma Limited,AUROPHARMA.NS,"'AUROPHARMA.NS',"
Ausom Enterprise Limited,AUSOMENT.NS,"'AUSOMENT.NS',"
Automotive Axles Limited,AUTOAXLES.NS,"'AUTOAXLES.NS',"
Autoline Industries Limited,AUTOIND.NS,"'AUTOIND.NS',"
Autolite (India) Limited,AUTOLITIND.NS,"'AUTOLITIND.NS',"
Avadh Sugar & Energy Limited,AVADHSUGAR.NS,"'AVADHSUGAR.NS',"
Avanti Feeds Limited,AVANTIFEED.NS,"'AVANTIFEED.NS',"
AVT Natural Products Limited,AVTNPL.NS,"'AVTNPL.NS',"
Antony Waste Handling Cell Limited,AWHCL.NS,"'AWHCL.NS',"
Axis Bank Limited,AXISBANK.NS,"'AXISBANK.NS',"
AXISCADES Technologies Limited,AXISCADES.NS,"'AXISCADES.NS',"
AYM Syntex Limited,AYMSYNTEX.NS,"'AYMSYNTEX.NS',"
Bafna Pharmaceuticals Limited,BAFNAPH.NS,"'BAFNAPH.NS',"
B.A.G Films and Media Limited,BAGFILMS.NS,"'BAGFILMS.NS',"
Bajaj Auto Limited,BAJAJ-AUTO.NS,"'BAJAJ-AUTO.NS',"
Bajaj Consumer Care Limited,BAJAJCON.NS,"'BAJAJCON.NS',"
Bajaj Electricals Limited,BAJAJELEC.NS,"'BAJAJELEC.NS',"
Bajaj Finserv Limited,BAJAJFINSV.NS,"'BAJAJFINSV.NS',"
Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS,"'BAJAJHIND.NS',"
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,"'BAJAJHLDNG.NS',"
Bajaj Finance Limited,BAJFINANCE.NS,"'BAJFINANCE.NS',"
Balaji Telefilms Limited,BALAJITELE.NS,"'BALAJITELE.NS',"
Balaji Amines Limited,BALAMINES.NS,"'BALAMINES.NS',"
BALAXI PHARMACEUTICALS LIMITED,BALAXI.NS,"'BALAXI.NS',"
Balkrishna Paper Mills Limited,BALKRISHNA.NS,"'BALKRISHNA.NS',"
Balkrishna Industries Limited,BALKRISIND.NS,"'BALKRISIND.NS',"
Ballarpur Industries Limited,BALLARPUR.NS,"'BALLARPUR.NS',"
Balmer Lawrie & Company Limited,BALMLAWRIE.NS,"'BALMLAWRIE.NS',"
Bal Pharma Limited,BALPHARMA.NS,"'BALPHARMA.NS',"
Balrampur Chini Mills Limited,BALRAMCHIN.NS,"'BALRAMCHIN.NS',"
Banaras Beads Limited,BANARBEADS.NS,"'BANARBEADS.NS',"
Bannari Amman Sugars Limited,BANARISUG.NS,"'BANARISUG.NS',"
Banco Products (I) Limited,BANCOINDIA.NS,"'BANCOINDIA.NS',"
Bandhan Bank Limited,BANDHANBNK.NS,"'BANDHANBNK.NS',"
Bang Overseas Limited,BANG.NS,"'BANG.NS',"
Banka BioLoo Limited,BANKA.NS,"'BANKA.NS',"
Bank of Baroda,BANKBARODA.NS,"'BANKBARODA.NS',"
Bank of India,BANKINDIA.NS,"'BANKINDIA.NS',"
Banswara Syntex Limited,BANSWRAS.NS,"'BANSWRAS.NS',"
Bartronics India Limited,BARTRONICS.NS,"'BARTRONICS.NS',"
BASF India Limited,BASF.NS,"'BASF.NS',"
Bannari Amman Spinning Mills Limited,BASML.NS,"'BASML.NS',"
Bata India Limited,BATAINDIA.NS,"'BATAINDIA.NS',"
Bayer Cropscience Limited,BAYERCROP.NS,"'BAYERCROP.NS',"
Bharat Bijlee Limited,BBL.NS,"'BBL.NS',"
Bombay Burmah Trading Corporation Limited,BBTC.NS,"'BBTC.NS',"
Brightcom Group Limited,BCG.NS,"'BCG.NS',"
B.C. Power Controls Ltd,BCP.NS,"'BCP.NS',"
Bharat Dynamics Limited,BDL.NS,"'BDL.NS',"
Beardsell Limited,BEARDSELL.NS,"'BEARDSELL.NS',"
Mrs. Bectors Food Specialities Limited,BECTORFOOD.NS,"'BECTORFOOD.NS',"
Bedmutha Industries Limited,BEDMUTHA.NS,"'BEDMUTHA.NS',"
Bharat Electronics Limited,BEL.NS,"'BEL.NS',"
BEML Limited,BEML.NS,"'BEML.NS',"
Bhansali Engineering Polymers Limited,BEPL.NS,"'BEPL.NS',"
Berger Paints (I) Limited,BERGEPAINT.NS,"'BERGEPAINT.NS',"
BF Investment Limited,BFINVEST.NS,"'BFINVEST.NS',"
BF Utilities Limited,BFUTILITIE.NS,"'BFUTILITIE.NS',"
BGR Energy Systems Limited,BGRENERGY.NS,"'BGRENERGY.NS',"
Bhageria Industries Limited,BHAGERIA.NS,"'BHAGERIA.NS',"
Bhagyanagar India Limited,BHAGYANGR.NS,"'BHAGYANGR.NS',"
Bhagyanagar Properties Limited,BHAGYAPROP.NS,"'BHAGYAPROP.NS',"
Bhandari Hosiery Exports Limited,BHANDARI.NS,"'BHANDARI.NS',"
Bharat Forge Limited,BHARATFORG.NS,"'BHARATFORG.NS',"
Bharat Gears Limited,BHARATGEAR.NS,"'BHARATGEAR.NS',"
Bharat Rasayan Limited,BHARATRAS.NS,"'BHARATRAS.NS',"
Bharat Wire Ropes Limited,BHARATWIRE.NS,"'BHARATWIRE.NS',"
Bharti Airtel Limited,BHARTIARTL.NS,"'BHARTIARTL.NS',"
Bharat Heavy Electricals Limited,BHEL.NS,"'BHEL.NS',"
Bigbloc Construction Limited,BIGBLOC.NS,"'BIGBLOC.NS',"
Bhartiya International Limited,BIL.NS,"'BIL.NS',"
Bil Energy Systems Limited,BILENERGY.NS,"'BILENERGY.NS',"
Oswal Chemicals & Fertilizers Limited,BINDALAGRO.NS,"'BINDALAGRO.NS',"
Biocon Limited,BIOCON.NS,"'BIOCON.NS',"
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS,"'BIOFILCHEM.NS',"
Birla Cable Limited,BIRLACABLE.NS,"'BIRLACABLE.NS',"
Birla Corporation Limited,BIRLACORPN.NS,"'BIRLACORPN.NS',"
Aditya Birla Money Limited,BIRLAMONEY.NS,"'BIRLAMONEY.NS',"
Birla Tyres Limited,BIRLATYRE.NS,"'BIRLATYRE.NS',"
Bkm Industries Limited,BKMINDST.NS,"'BKMINDST.NS',"
BLB Limited,BLBLIMITED.NS,"'BLBLIMITED.NS',"
Bliss GVS Pharma Limited,BLISSGVS.NS,"'BLISSGVS.NS',"
B. L. Kashyap and Sons Limited,BLKASHYAP.NS,"'BLKASHYAP.NS',"
BLS International Services Limited,BLS.NS,"'BLS.NS',"
Blue Coast Hotels Limited,BLUECOAST.NS,"'BLUECOAST.NS',"
Blue Dart Express Limited,BLUEDART.NS,"'BLUEDART.NS',"
Blue Star Limited,BLUESTARCO.NS,"'BLUESTARCO.NS',"
Bodal Chemicals Limited,BODALCHEM.NS,"'BODALCHEM.NS',"
Bombay Dyeing & Mfg Company Limited,BOMDYEING.NS,"'BOMDYEING.NS',"
Borosil Limited,BOROLTD.NS,"'BOROLTD.NS',"
BOROSIL RENEWABLES LIMITED,BORORENEW.NS,"'BORORENEW.NS',"
Bosch Limited,BOSCHLTD.NS,"'BOSCHLTD.NS',"
Bharat Petroleum Corporation Limited,BPCL.NS,"'BPCL.NS',"
BPL Limited,BPL.NS,"'BPL.NS',"
Bombay Rayon Fashions Limited,BRFL.NS,"'BRFL.NS',"
Brigade Enterprises Limited,BRIGADE.NS,"'BRIGADE.NS',"
Britannia Industries Limited,BRITANNIA.NS,"'BRITANNIA.NS',"
Bharat Road Network Limited,BRNL.NS,"'BRNL.NS',"
Brooks Laboratories Limited,BROOKS.NS,"'BROOKS.NS',"
BSE Limited,BSE.NS,"'BSE.NS',"
BSEL Infrastructure Realty Limited,BSELINFRA.NS,"'BSELINFRA.NS',"
Bombay Super Hybrid Seeds Limited,BSHSL.NS,"'BSHSL.NS',"
BSL Limited,BSL.NS,"'BSL.NS',"
BIRLASOFT LIMITED,BSOFT.NS,"'BSOFT.NS',"
Burger King India Limited,BURGERKING.NS,"'BURGERKING.NS',"
Burnpur Cement Limited,BURNPUR.NS,"'BURNPUR.NS',"
Butterfly Gandhimathi Appliances Limited,BUTTERFLY.NS,"'BUTTERFLY.NS',"
Barak Valley Cements Limited,BVCL.NS,"'BVCL.NS',"
The Byke Hospitality Ltd,BYKE.NS,"'BYKE.NS',"
Cadila Healthcare Limited,CADILAHC.NS,"'CADILAHC.NS',"
California Software Company Limited,CALSOFT.NS,"'CALSOFT.NS',"
Camlin Fine Sciences Limited,CAMLINFINE.NS,"'CAMLINFINE.NS',"
Computer Age Management Services Limited,CAMS.NS,"'CAMS.NS',"
Canara Bank,CANBK.NS,"'CANBK.NS',"
C & C Constructions Limited,CANDC.NS,"'CANDC.NS',"
Can Fin Homes Limited,CANFINHOME.NS,"'CANFINHOME.NS',"
Cantabil Retail India Limited,CANTABIL.NS,"'CANTABIL.NS',"
Capacit'e Infraprojects Limited,CAPACITE.NS,"'CAPACITE.NS',"
Caplin Point Laboratories Limited,CAPLIPOINT.NS,"'CAPLIPOINT.NS',"
Capital Trust Limited,CAPTRUST.NS,"'CAPTRUST.NS',"
Carborundum Universal Limited,CARBORUNIV.NS,"'CARBORUNIV.NS',"
Career Point Limited,CAREERP.NS,"'CAREERP.NS',"
CARE Ratings Limited,CARERATING.NS,"'CARERATING.NS',"
Castrol India Limited,CASTROLIND.NS,"'CASTROLIND.NS',"
Country Club Hospitality & Holidays Limited,CCHHL.NS,"'CCHHL.NS',"
CCL Products (India) Limited,CCL.NS,"'CCL.NS',"
Central Depository Services (India) Limited,CDSL.NS,"'CDSL.NS',"
CEAT Limited,CEATLTD.NS,"'CEATLTD.NS',"
Commercial Engineers & Body Builders Co Limited,CEBBCO.NS,"'CEBBCO.NS',"
Celebrity Fashions Limited,CELEBRITY.NS,"'CELEBRITY.NS',"
Century Enka Limited,CENTENKA.NS,"'CENTENKA.NS',"
Century Extrusions Limited,CENTEXT.NS,"'CENTEXT.NS',"
Central Bank of India,CENTRALBK.NS,"'CENTRALBK.NS',"
Centrum Capital Limited,CENTRUM.NS,"'CENTRUM.NS',"
Centum Electronics Limited,CENTUM.NS,"'CENTUM.NS',"
Century Plyboards (India) Limited,CENTURYPLY.NS,"'CENTURYPLY.NS',"
Century Textiles & Industries Limited,CENTURYTEX.NS,"'CENTURYTEX.NS',"
Cera Sanitaryware Limited,CERA.NS,"'CERA.NS',"
Cerebra Integrated Technologies Limited,CEREBRAINT.NS,"'CEREBRAINT.NS',"
CESC Limited,CESC.NS,"'CESC.NS',"
CESC Ventures Limited,CESCVENT.NS,"'CESCVENT.NS',"
Capri Global Capital Limited,CGCL.NS,"'CGCL.NS',"
CG Power and Industrial Solutions Limited,CGPOWER.NS,"'CGPOWER.NS',"
Chalet Hotels Limited,CHALET.NS,"'CHALET.NS',"
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,"'CHAMBLFERT.NS',"
Chembond Chemicals Ltd,CHEMBOND.NS,"'CHEMBOND.NS',"
Chemcon Speciality Chemicals Limited,CHEMCON.NS,"'CHEMCON.NS',"
Chemfab Alkalis Limited,CHEMFAB.NS,"'CHEMFAB.NS',"
Chennai Petroleum Corporation Limited,CHENNPETRO.NS,"'CHENNPETRO.NS',"
Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,"'CHOLAFIN.NS',"
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,"'CHOLAHLDNG.NS',"
Chromatic India Limited,CHROMATIC.NS,"'CHROMATIC.NS',"
Cigniti Technologies Limited,CIGNITITEC.NS,"'CIGNITITEC.NS',"
Cineline India Limited,CINELINE.NS,"'CINELINE.NS',"
Cinevista Limited,CINEVISTA.NS,"'CINEVISTA.NS',"
Cipla Limited,CIPLA.NS,"'CIPLA.NS',"
CL Educate Limited,CLEDUCATE.NS,"'CLEDUCATE.NS',"
Clariant Chemicals (India) Limited,CLNINDIA.NS,"'CLNINDIA.NS',"
